Booked Time, Actual Time, Headcode,Service Info, Location,Call Order, Train Order,Date
13:18:00,13:18:15,'2F31',1316 Motherwell to Dalmuir,Airbles [AIR] Arr,0,0,10/12/2018
13:18:30,13:18:45,'2F31',1316 Motherwell to Dalmuir,Airbles [AIR] Dep,1,0,10/12/2018
13:21:00,13:20:45,'2F31',1316 Motherwell to Dalmuir,Haughhead Jn,2,0,10/12/2018
13:23:30,13:22:45,'2F31',1316 Motherwell to Dalmuir,Hamilton Central [HNC] Arr,3,0,10/12/2018
13:24:00,13:24:00,'2F31',1316 Motherwell to Dalmuir,Hamilton Central [HNC] Dep,4,0,10/12/2018
13:26:00,13:26:00,'2F31',1316 Motherwell to Dalmuir,Hamilton West [HNW] Arr,5,0,10/12/2018
13:26:30,13:26:30,'2F31',1316 Motherwell to Dalmuir,Hamilton West [HNW] Dep,6,0,10/12/2018
13:29:30,13:29:15,'2F31',1316 Motherwell to Dalmuir,Blantyre [BLT] Arr,7,0,10/12/2018
13:30:00,13:30:00,'2F31',1316 Motherwell to Dalmuir,Blantyre [BLT] Dep,8,0,10/12/2018
13:33:30,13:33:30,'2F31',1316 Motherwell to Dalmuir,Newton [NTN] Arr,9,0,10/12/2018
13:34:00,13:33:45,'2F31',1316 Motherwell to Dalmuir,Newton [NTN] Dep,10,0,10/12/2018
13:35:30,13:35:30,'2F31',1316 Motherwell to Dalmuir,Newton West Jn,11,0,10/12/2018
13:37:00,13:36:00,'2F31',1316 Motherwell to Dalmuir,Cambuslang [CBL] Arr,12,0,10/12/2018
13:37:30,13:37:00,'2F31',1316 Motherwell to Dalmuir,Cambuslang [CBL] Dep,13,0,10/12/2018
13:39:00,13:39:00,'2F31',1316 Motherwell to Dalmuir,Rutherglen East Jn,14,0,10/12/2018
13:41:00,13:40:00,'2F31',1316 Motherwell to Dalmuir,Rutherglen [RUT] Arr,15,0,10/12/2018
13:41:30,13:41:00,'2F31',1316 Motherwell to Dalmuir,Rutherglen [RUT] Dep,16,0,10/12/2018
13:43:30,13:43:15,'2F31',1316 Motherwell to Dalmuir,Dalmarnock [DAK] Arr,17,0,10/12/2018
13:44:00,13:43:30,'2F31',1316 Motherwell to Dalmuir,Dalmarnock [DAK] Dep,18,0,10/12/2018
13:45:30,13:45:15,'2F31',1316 Motherwell to Dalmuir,Bridgeton [BDG] Arr,19,0,10/12/2018
13:46:00,13:46:00,'2F31',1316 Motherwell to Dalmuir,Bridgeton [BDG] Dep,20,0,10/12/2018
13:48:30,13:48:30,'2F31',1316 Motherwell to Dalmuir,Argyle Street [AGS] Arr,21,0,10/12/2018
13:49:30,13:49:15,'2F31',1316 Motherwell to Dalmuir,Argyle Street [AGS] Dep,22,0,10/12/2018
13:50:30,13:50:15,'2F31',1316 Motherwell to Dalmuir,Glasgow Central [GLC] Arr,23,0,10/12/2018
13:51:30,13:51:15,'2F31',1316 Motherwell to Dalmuir,Glasgow Central [GLC] Dep,24,0,10/12/2018
13:52:30,13:52:45,'2F31',1316 Motherwell to Dalmuir,Anderston [AND] Arr,25,0,10/12/2018
13:53:00,13:53:00,'2F31',1316 Motherwell to Dalmuir,Anderston [AND] Dep,26,0,10/12/2018
13:54:30,13:54:30,'2F31',1316 Motherwell to Dalmuir,Exhibition Centre [EXG] Arr,27,0,10/12/2018
